,bai,centrality,ph_ph_centrality,th_th_centrality,group
3250,D.Stockinger.1,0.0005457952111598516,0.0005039975209507044,0.0005186076472774987,ph
895,G.M.Sotkov.1,0.0005456487322064673,0.0,0.0010268843275829242,th
87,E.L.Berger.1,0.000545403321368455,0.0010641928502181184,2.596771201407386e-05,ph
1010,J.J.van.der.Bij.1,0.0005450119733169947,0.000105946624012828,0.0007900786872423939,ph
5405,G.Bergner.1,0.0005407581727928977,0.0007102420815377194,0.000464922210812711,th
440,Kenichi.Konishi.1,0.0005379115612178716,5.535611975742948e-07,0.0008688281386227951,th
4631,I.Yavin.1,0.0005369943270385478,1.3045861824053227e-06,0.0004351831144394148,ph
2287,P.Berglund.1,0.0005296150627692268,0.0005456037553591645,0.0004939780230053881,th
2534,J.M.Maldacena.1,0.000528354045235586,6.528836957819208e-06,0.0013128976419531026,th
1447,L.Roszkowski.1,0.0005282568181967951,0.0010390013405167698,5.58593940872386e-08,ph
2237,M.Mondragon.2,0.000525961177453055,0.0006350351810219461,0.0003365694981280926,ph
2332,Krishna.Rajagopal.1,0.0005254179925226185,0.0006800268661701222,0.0003323827457434988,ph
3339,G.Dall.Agata.1,0.0005210298667793472,3.1829768860521955e-06,0.0010242338107276788,th
2573,A.H.Hoang.1,0.0005205498786340493,0.0007451780175364308,0.0003360181047988836,ph
5588,David.Curtin.1,0.0005189345705199349,0.0002898639390263698,0.0003586815056513453,ph
2004,Shibaji.Roy.1,0.0005170261585343914,0.000137975128495393,0.0009018297218517537,th
833,M.Rocek.1,0.0005161523226439348,0.00014528455264193452,0.0014546129316318386,th
577,P.Roy.4,0.0005144484573588429,0.0008796751021537828,5.664682280989796e-05,ph
5139,P.Athron.1,0.000508868599552995,0.0010162530729785645,4.5207497801900745e-06,ph
5248,M.Lisanti.1,0.0005079191495899494,0.0002690304500626048,0.0006269164317704753,ph
3242,D.Restrepo.1,0.0005076506637781709,0.0006671311807334973,0.00027943725403917273,ph
3799,C.P.Herzog.1,0.000505032231458145,1.9391116950742413e-05,0.0013453691688807077,th
