ngram,count,unithood
dirac equation,176,0.002091485714346151
intermediate mass,176,0.002091485714346151
heavy quark production,139,0.002084337485485671
theoretical approach,175,0.0020796022727873663
different type,175,0.0020796022727873663
independent way,175,0.0020796022727873663
phenomenological constraint,175,0.0020796022727873663
next-to-leading order correction,138,0.002069342251777141
scale dependence,174,0.0020677188312285813
such effect,174,0.0020677188312285813
perturbative correction,174,0.0020677188312285813
new state,174,0.0020677188312285813
leptonic cp,174,0.0020677188312285813
boltzmann equation,173,0.002055835389669796
threshold correction,173,0.002055835389669796
minimal flavor,173,0.002055835389669796
susy parameter,173,0.002055835389669796
ultrarelativistic heavy-ion collision,137,0.002054347018068611
dark matter relic abundance,118,0.002054253411797032
hadronic phase,172,0.002043951948111011
small scale,172,0.002043951948111011
spontaneous cp,172,0.002043951948111011
partial decay,172,0.002043951948111011
higgs search,172,0.002043951948111011
few tev,171,0.0020320685065522265
large region,171,0.0020320685065522265
non-perturbative effect,171,0.0020320685065522265
negative parity,171,0.0020320685065522265
stringent bound,171,0.0020320685065522265
n c,171,0.0020320685065522265
new interaction,171,0.0020320685065522265
dependent parton distribution,135,0.002024356550651551
molecular state,170,0.0020201850649934415
galactic halo,170,0.0020201850649934415
previous paper,170,0.0020201850649934415
scalar dark matter,134,0.0020093613169430207
weak phase,169,0.0020083016234346564
chiral transition,169,0.0020083016234346564
two-loop level,169,0.0020083016234346564
late time,169,0.0020083016234346564
asymptotic behavior,168,0.0019964181818758714
combined analysis,168,0.0019964181818758714
3-3-1 model,168,0.0019964181818758714
kinetic theory,168,0.0019964181818758714
cosmic neutrino,168,0.0019964181818758714
q * *,133,0.001994366083234491
integral equation,167,0.0019845347403170863
randall-sundrum model,167,0.0019845347403170863
atmospheric neutrino oscillation,132,0.0019793708495259607
large distance,166,0.0019726512987583017
higgs triplet,166,0.0019726512987583017
natural way,166,0.0019726512987583017
general relativity,166,0.0019726512987583017
direct photon,166,0.0019726512987583017
indirect search,166,0.0019726512987583017
statistical model,165,0.0019607678571995166
nonrelativistic qcd,165,0.0019607678571995166
