ngram,count,unithood
lorentz violation,211,0.0022483069639968882
soft term,211,0.0022483069639968882
lepton mass,211,0.0022483069639968882
electroweak precision test,167,0.0022454357128989626
physical quantity,210,0.0022376514807551967
physical value,210,0.0022376514807551967
leptonic mixing,209,0.0022269959975135052
scalar singlet,209,0.0022269959975135052
low momentum,209,0.0022269959975135052
x su,208,0.002216340514271814
linear combination,208,0.002216340514271814
theoretical approach,208,0.002216340514271814
infrared divergence,208,0.002216340514271814
higgs particle,208,0.002216340514271814
small neutrino,208,0.002216340514271814
simple extension,207,0.0022056850310301227
leptonic cp,207,0.0022056850310301227
magnetic dipole,207,0.0022056850310301227
experimental test,207,0.0022056850310301227
critical value,207,0.0022056850310301227
standard model field,164,0.0022050985444037716
atmospheric neutrino data,164,0.0022050985444037716
pole mass,206,0.002195029547788431
higgs search,206,0.002195029547788431
lepton flavor,205,0.0021843740645467397
combined analysis,205,0.0021843740645467397
flat direction,205,0.0021843740645467397
large region,205,0.0021843740645467397
new interaction,205,0.0021843740645467397
two-loop correction,205,0.0021843740645467397
nambu-goldstone boson,205,0.0021843740645467397
partial decay,205,0.0021843740645467397
future measurement,204,0.0021737185813050486
light vector,204,0.0021737185813050486
hadronic interaction,204,0.0021737185813050486
exact solution,203,0.0021630630980633567
nonrelativistic qcd,203,0.0021630630980633567
stringent bound,203,0.0021630630980633567
scale dependence,203,0.0021630630980633567
strong phase,202,0.002152407614821665
kinetic equation,202,0.002152407614821665
main result,202,0.002152407614821665
electromagnetic interaction,202,0.002152407614821665
numerical study,201,0.002141752131579974
hadronic contribution,201,0.002141752131579974
minimal flavor violation,159,0.00213786993024512
dependent parton distribution,159,0.00213786993024512
intermediate scale,200,0.0021310966483382827
azimuthal angle,200,0.0021310966483382827
nonleptonic decay,200,0.0021310966483382827
high energy neutrino,158,0.0021244242074133896
dense matter,199,0.002120441165096591
explicit expression,199,0.002120441165096591
recent study,199,0.002120441165096591
current constraint,199,0.002120441165096591
present paper,199,0.002120441165096591
general form,199,0.002120441165096591
non-perturbative effect,198,0.0021097856818548997
susy breaking,198,0.0021097856818548997
experimental analysis,198,0.0021097856818548997
dark matter relic abundance,135,0.0021073501079367576
unified model,197,0.0020991301986132086
general case,197,0.0020991301986132086
long range,197,0.0020991301986132086
partial decay width,156,0.002097532761749929
scalar dark matter,156,0.002097532761749929
intermediate mass,196,0.002088474715371517
w boson,196,0.002088474715371517
nucleon form factor,155,0.0020840870389181986
minimal standard model,155,0.0020840870389181986
qcd phase transition,155,0.0020840870389181986
soft mass,195,0.0020778192321298256
different type,195,0.0020778192321298256
small mixing,195,0.0020778192321298256
independent way,195,0.0020778192321298256
axial anomaly,194,0.002067163748888134
perturbative correction,194,0.002067163748888134
non-abelian gauge,193,0.002056508265646443
minimal flavor,193,0.002056508265646443
t \bar,193,0.002056508265646443
scalar resonance,192,0.002045852782404751
new constraint,192,0.002045852782404751
small momentum,192,0.002045852782404751
collinear factorization,192,0.002045852782404751
scalar doublet,192,0.002045852782404751
current limit,192,0.002045852782404751
heavy quark production,152,0.0020437498704230076
new class,191,0.0020351972991630597
phenomenological constraint,191,0.0020351972991630597
e^- \to,191,0.0020351972991630597
current quark,191,0.0020351972991630597
